Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,44.34,46.619999,44.23,45.720001,000,45.720001
2016-03-01,43.34,44.00,42.41,43.799999,000,43.799999
2016-02-01,43.41,43.41,40.740002,42.529999,000,42.529999
2016-01-04,47.599998,47.799999,42.509998,43.279999,000,43.279999
2015-12-01,54.369999,54.369999,46.849998,48.529999,000,48.529999
2015-11-02,54.290001,54.32,52.110001,53.580002,000,47.492184
2015-10-01,51.02,53.529999,50.669998,53.119999,000,47.084446
2015-09-01,53.259998,56.549999,49.209999,50.619999,000,44.8685
2015-08-03,58.970001,59.32,52.380001,54.580002,000,48.378563
2015-07-01,57.439999,59.849998,56.599998,58.98,000,52.278625
2015-06-01,56.93,58.310001,55.91,57.00,000,50.523598
2015-05-01,54.099998,56.959999,53.57,56.869999,000,50.408367
2015-04-01,53.970001,56.41,53.220001,53.220001,000,47.173084
2015-03-02,53.639999,56.369999,53.029999,54.459999,000,48.272194
2015-02-02,50.689999,53.48,50.09,53.16,000,47.1199
2015-01-02,49.580002,51.709999,48.98,50.560001,000,44.815319
2014-12-01,52.950001,54.07,47.900002,49.419998,000,43.804844
2014-11-03,51.380001,53.32,50.959999,53.32,000,44.210751
2014-10-01,47.970001,51.389999,45.900002,51.389999,000,42.610474
2014-09-02,48.290001,49.240002,48.009998,48.389999,000,40.122997
2014-08-01,45.619999,48.279999,44.970001,48.279999,000,40.031788
2014-07-01,46.139999,46.549999,44.43,45.619999,000,37.826225
2014-06-02,43.84,45.610001,43.84,45.48,000,37.710144
2014-05-01,42.68,43.810001,41.900002,43.810001,000,36.325451
2014-04-01,43.68,43.77,40.709999,42.509998,000,35.24754
2014-03-03,44.75,45.669998,42.610001,43.310001,000,35.91087
2014-02-03,41.419998,45.619999,41.419998,45.18,000,37.461395
2014-01-02,40.779999,43.23,40.630001,42.439999,000,35.189499
2013-12-02,44.560001,44.57,39.389999,41.040001,000,34.028679
2013-11-01,43.060001,44.50,42.060001,44.490002,000,33.421787
2013-10-01,42.48,43.509998,40.48,42.860001,000,32.197296
2013-09-03,40.200001,42.380001,40.200001,41.919998,000,31.491148
2013-08-01,41.330002,41.330002,39.66,39.740002,000,29.853491
2013-07-01,38.080002,40.93,38.040001,40.93,000,30.747442
2013-06-03,38.07,38.380001,36.759998,37.560001,000,28.21583
2013-05-01,37.290001,39.16,37.290001,38.200001,000,28.696611
2013-04-01,36.82,38.330002,36.610001,37.790001,000,28.388611
2013-03-01,34.77,36.93,34.77,36.93,000,27.742561
2013-02-01,34.119999,34.52,33.720001,34.48,000,25.902071
2013-01-02,32.049999,33.93,32.049999,33.709999,000,25.323631
2012-12-03,33.459999,34.25,31.040001,31.42,000,23.603338
2012-11-01,33.400002,33.52,31.99,33.52,000,23.470804
2012-10-01,33.869999,34.580002,32.919998,32.919998,000,23.050682
2012-09-04,32.540001,33.799999,32.48,33.650002,000,23.561832
2012-08-01,31.469999,32.25,31.18,32.25,000,22.581547
2012-07-02,31.98,32.080002,30.870001,31.610001,000,22.133417
2012-06-01,29.459999,31.65,29.459999,31.65,000,22.161425
2012-05-01,31.26,31.280001,29.700001,30.120001,000,21.090115
2012-04-02,31.60,31.629999,30.280001,31.17,000,21.825327
2012-03-01,30.26,31.40,29.559999,31.40,000,21.986374
2012-02-01,30.15,30.42,29.889999,30.059999,000,21.048101
2012-01-03,28.84,29.77,28.74,29.67,000,20.775023
2011-12-01,29.32,29.32,27.09,28.48,000,19.941782
2011-11-01,28.59,29.40,27.34,29.27,000,19.455111
2011-10-03,27.00,29.969999,27.00,29.290001,000,19.468405
2011-09-01,29.209999,29.35,27.90,28.01,000,18.617617
2011-08-01,30.129999,30.129999,26.780001,29.440001,000,19.568106
2011-07-01,32.279999,32.360001,30.66,30.66,000,20.379011
2011-06-01,31.84,31.870001,31.040001,31.870001,000,21.183273
2011-05-02,32.299999,32.529999,31.75,32.279999,000,21.45579
2011-04-01,30.620001,32.07,30.60,32.049999,000,21.302914
2011-03-01,29.57,30.370001,28.879999,30.360001,000,20.179609
2011-02-01,29.09,30.040001,29.00,29.73,000,19.760862
2011-01-03,28.639999,29.26,28.59,28.74,000,19.102831
2010-12-01,28.790001,29.08,27.629999,28.34,000,18.83696
2010-11-01,28.719999,29.01,28.280001,28.32,000,17.976927
2010-10-01,28.209999,28.889999,27.90,28.709999,000,18.224489
2010-09-01,26.389999,28.18,26.389999,28.18,000,17.888058
2010-08-02,26.549999,27.33,25.82,25.82,000,16.38998
2010-07-01,25.799999,27.01,25.799999,26.10,000,16.567719
2010-06-01,26.700001,27.860001,26.129999,26.129999,000,16.586761
2010-05-03,29.139999,29.139999,26.59,27.09,000,17.19615
2010-04-01,29.50,29.60,28.889999,28.959999,000,18.383184
2010-03-01,28.73,29.690001,28.73,29.35,000,18.630749
2010-02-01,27.77,28.25,27.190001,28.25,000,17.932493
2010-01-04,28.059999,28.879999,27.610001,27.610001,000,17.526236
2009-12-01,27.209999,28.01,27.040001,27.93,000,17.729364
2009-11-02,25.24,27.200001,25.24,26.870001,000,17.056499
2009-10-01,25.209999,26.290001,25.040001,25.040001,000,15.894855
2009-09-01,24.700001,26.02,24.65,25.700001,000,16.313808
2009-08-03,24.469999,25.209999,24.10,25.02,000,15.882158
2009-07-01,23.07,24.360001,22.309999,24.280001,000,15.412422
2009-06-01,22.469999,23.16,21.959999,23.040001,000,14.625298
2009-05-01,21.10,22.219999,21.10,22.219999,000,14.104778
2009-04-01,20.77,21.24,20.59,21.08,000,13.381131
2009-03-02,19.00,21.07,18.969999,20.799999,000,13.203392
2009-02-02,21.92,22.299999,19.74,19.74,000,12.530527
2009-01-02,22.09,22.09,21.209999,21.74,000,13.800084
2008-12-01,21.68,23.23,20.51,21.76,000,13.81278
2008-11-03,24.90,25.059999,21.16,22.92,000,13.084719
2008-10-01,28.15,28.15,22.540001,24.639999,000,14.066643
2008-09-02,29.700001,29.780001,27.49,27.49,000,15.693669
2008-08-01,29.540001,30.280001,29.540001,29.66,000,16.932493
2008-07-01,27.959999,29.66,27.610001,29.66,000,16.932493
